"District","FIPS","Year","English Learner Status","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2010-2011","English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","English Language Learner","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Non-English Language Learner","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","English Language Learner","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2010-2011","Non-English Language Learner","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","English Language Learner","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Non-English Language Learner","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","English Language Learner","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2011-2012","Non-English Language Learner","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","English Language Learner","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Non-English Language Learner","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","English Language Learner","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2012-2013","Non-English Language Learner","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","English Language Learner","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Non-English Language Learner","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","English Language Learner","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2013-2014","Non-English Language Learner","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2014-2015","English Language Learner","Total Cohort Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Non-English Language Learner","Total Cohort Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","English Language Learner","Four Year Graduation Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Non-English Language Learner","Four Year Graduation Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","English Language Learner","Four Year Graduation Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Non-English Language Learner","Four Year Graduation Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","English Language Learner","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","English Language Learner","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","English Language Learner","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Non-English Language Learner","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","English Language Learner","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Non-English Language Learner","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","English Language Learner","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Non-English Language Learner","Other Count","Number","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","English Language Learner","Other Rate","Percent","-6666"
"Achievement First Bridgeport Academy District","","2015-2016","Non-English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Non-English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Non-English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Non-English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Non-English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Non-English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","Non-English Language Learner","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2015-2016","English Language Learner","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","Non-English Language Learner","Other Rate","Percent","-6666"
"Amistad Academy District","","2010-2011","English Language Learner","Total Cohort Count","Number","-6666"
"Amistad Academy District","","2010-2011","Non-English Language Learner","Total Cohort Count","Number","29"
"Amistad Academy District","","2010-2011","English Language Learner","Four Year Graduation Count","Number","-6666"
"Amistad Academy District","","2010-2011","Non-English Language Learner","Four Year Graduation Count","Number","17"
"Amistad Academy District","","2010-2011","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Amistad Academy District","","2010-2011","Non-English Language Learner","Four Year Graduation Rate","Percent","58.6"
"Amistad Academy District","","2010-2011","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Amistad Academy District","","2010-2011","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2010-2011","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Amistad Academy District","","2010-2011","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2010-2011","English Language Learner","Other Count","Number","-6666"
"Amistad Academy District","","2010-2011","Non-English Language Learner","Other Count","Number","-9999"
"Amistad Academy District","","2010-2011","English Language Learner","Other Rate","Percent","-6666"
"Amistad Academy District","","2010-2011","Non-English Language Learner","Other Rate","Percent","-9999"
"Amistad Academy District","","2011-2012","English Language Learner","Total Cohort Count","Number","-6666"
"Amistad Academy District","","2011-2012","Non-English Language Learner","Total Cohort Count","Number","21"
"Amistad Academy District","","2011-2012","English Language Learner","Four Year Graduation Count","Number","-6666"
"Amistad Academy District","","2011-2012","Non-English Language Learner","Four Year Graduation Count","Number","15"
"Amistad Academy District","","2011-2012","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Amistad Academy District","","2011-2012","Non-English Language Learner","Four Year Graduation Rate","Percent","71.4"
"Amistad Academy District","","2011-2012","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Amistad Academy District","","2011-2012","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2011-2012","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Amistad Academy District","","2011-2012","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2011-2012","English Language Learner","Other Count","Number","-6666"
"Amistad Academy District","","2011-2012","Non-English Language Learner","Other Count","Number","-9999"
"Amistad Academy District","","2011-2012","English Language Learner","Other Rate","Percent","-6666"
"Amistad Academy District","","2011-2012","Non-English Language Learner","Other Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","English Language Learner","Total Cohort Count","Number","-9999"
"Amistad Academy District","","2012-2013","Non-English Language Learner","Total Cohort Count","Number","-9999"
"Amistad Academy District","","2012-2013","English Language Learner","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2012-2013","Non-English Language Learner","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2012-2013","English Language Learner","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Non-English Language Learner","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","English Language Learner","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2012-2013","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2012-2013","English Language Learner","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","English Language Learner","Other Count","Number","-9999"
"Amistad Academy District","","2012-2013","Non-English Language Learner","Other Count","Number","-9999"
"Amistad Academy District","","2012-2013","English Language Learner","Other Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Non-English Language Learner","Other Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","English Language Learner","Total Cohort Count","Number","-6666"
"Amistad Academy District","","2013-2014","Non-English Language Learner","Total Cohort Count","Number","23"
"Amistad Academy District","","2013-2014","English Language Learner","Four Year Graduation Count","Number","-6666"
"Amistad Academy District","","2013-2014","Non-English Language Learner","Four Year Graduation Count","Number","19"
"Amistad Academy District","","2013-2014","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Amistad Academy District","","2013-2014","Non-English Language Learner","Four Year Graduation Rate","Percent","82.6"
"Amistad Academy District","","2013-2014","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Amistad Academy District","","2013-2014","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2013-2014","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
