"District","FIPS","Year","English Learner Status","Variable","Measure Type","Value"
"Amistad Academy District","","2013-2014","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","English Language Learner","Other Count","Number","-6666"
"Amistad Academy District","","2013-2014","Non-English Language Learner","Other Count","Number","-9999"
"Amistad Academy District","","2013-2014","English Language Learner","Other Rate","Percent","-6666"
"Amistad Academy District","","2013-2014","Non-English Language Learner","Other Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","English Language Learner","Total Cohort Count","Number","-9999"
"Amistad Academy District","","2014-2015","Non-English Language Learner","Total Cohort Count","Number","-9999"
"Amistad Academy District","","2014-2015","English Language Learner","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2014-2015","Non-English Language Learner","Four Year Graduation Count","Number","-9999"
"Amistad Academy District","","2014-2015","English Language Learner","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Non-English Language Learner","Four Year Graduation Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","English Language Learner","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2014-2015","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2014-2015","English Language Learner","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","English Language Learner","Other Count","Number","-9999"
"Amistad Academy District","","2014-2015","Non-English Language Learner","Other Count","Number","-9999"
"Amistad Academy District","","2014-2015","English Language Learner","Other Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Non-English Language Learner","Other Rate","Percent","-9999"
"Amistad Academy District","","2015-2016","English Language Learner","Total Cohort Count","Number","-6666"
"Amistad Academy District","","2015-2016","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Amistad Academy District","","2015-2016","English Language Learner","Four Year Graduation Count","Number","-6666"
"Amistad Academy District","","2015-2016","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Amistad Academy District","","2015-2016","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Amistad Academy District","","2015-2016","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Amistad Academy District","","2015-2016","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Amistad Academy District","","2015-2016","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Amistad Academy District","","2015-2016","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Amistad Academy District","","2015-2016","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Amistad Academy District","","2015-2016","English Language Learner","Other Count","Number","-6666"
"Amistad Academy District","","2015-2016","Non-English Language Learner","Other Count","Number","-6666"
"Amistad Academy District","","2015-2016","English Language Learner","Other Rate","Percent","-6666"
"Amistad Academy District","","2015-2016","Non-English Language Learner","Other Rate","Percent","-6666"
"Andover School District","","2010-2011","English Language Learner","Total Cohort Count","Number","-6666"
"Andover School District","","2010-2011","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Andover School District","","2010-2011","English Language Learner","Four Year Graduation Count","Number","-6666"
"Andover School District","","2010-2011","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Andover School District","","2010-2011","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2010-2011","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2010-2011","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2010-2011","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2010-2011","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2010-2011","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2010-2011","English Language Learner","Other Count","Number","-6666"
"Andover School District","","2010-2011","Non-English Language Learner","Other Count","Number","-6666"
"Andover School District","","2010-2011","English Language Learner","Other Rate","Percent","-6666"
"Andover School District","","2010-2011","Non-English Language Learner","Other Rate","Percent","-6666"
"Andover School District","","2011-2012","English Language Learner","Total Cohort Count","Number","-6666"
"Andover School District","","2011-2012","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Andover School District","","2011-2012","English Language Learner","Four Year Graduation Count","Number","-6666"
"Andover School District","","2011-2012","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Andover School District","","2011-2012","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2011-2012","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2011-2012","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2011-2012","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2011-2012","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2011-2012","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2011-2012","English Language Learner","Other Count","Number","-6666"
"Andover School District","","2011-2012","Non-English Language Learner","Other Count","Number","-6666"
"Andover School District","","2011-2012","English Language Learner","Other Rate","Percent","-6666"
"Andover School District","","2011-2012","Non-English Language Learner","Other Rate","Percent","-6666"
"Andover School District","","2012-2013","English Language Learner","Total Cohort Count","Number","-6666"
"Andover School District","","2012-2013","Non-English Language Learner","Total Cohort Count","Number","-6666"
"Andover School District","","2012-2013","English Language Learner","Four Year Graduation Count","Number","-6666"
"Andover School District","","2012-2013","Non-English Language Learner","Four Year Graduation Count","Number","-6666"
"Andover School District","","2012-2013","English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2012-2013","Non-English Language Learner","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2012-2013","English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2012-2013","Non-English Language Learner","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2012-2013","English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2012-2013","Non-English Language Learner","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2012-2013","English Language Learner","Other Count","Number","-6666"
"Andover School District","","2012-2013","Non-English Language Learner","Other Count","Number","-6666"
"Andover School District","","2012-2013","English Language Learner","Other Rate","Percent","-6666"
