"Four-Year Graduation Rates, Trend"
"All Districts, English Learner Status"

"",,"Non-Graduates",,,,,,,,,
"",,"Four-Year Still Enrolled Rate by Year",,,,,"Four-Year Other Rate by Year",,,,
"District","English Learner Status","2010-11","2011-12","2012-13","2013-14","2014-15","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","ELL","N/A","N/A","*","N/A","*","N/A","N/A","*","N/A","*"
"Ansonia School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Avon School District","ELL","*","*","*","N/A","*","*","*","*","N/A","*"
"Berlin School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","Non-ELL","*",7.1,"*","*","*","*",14.8,"*","*","*"
"Bloomfield School District","ELL","*","N/A","*","*","*","*","N/A","*","*","*"
"Bolton School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","ELL","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","*"
"Branford School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Branford School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","Non-ELL","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","*"
"Bridgeport Achievement First District","ELL","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Non-ELL",24.5,22.5,20.2,17.7,23.6,13.6,9.0,11.0,9.2,12.2
"Bridgeport School District","ELL",37.9,33.7,31.2,27.9,31.0,10.2,10.6,10.6,10.5,9.2
"Bristol School District","Non-ELL","*","*","*","*","*","*","*",7.7,"*","*"
"Bristol School District","ELL","*","*","*","*","*","*","*",28.0,"*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Canton School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Canton School District","ELL","*","N/A","N/A","N/A","*","*","N/A","N/A","N/A","*"
"Capitol Region Education Council","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","ELL","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","ELL","N/A","*","*","N/A","*","N/A","*","*","N/A","*"
"Connecticut Technical High School System","Non-ELL",5.8,3.5,3.0,"*","*","*","*","*","*","*"
"Connecticut Technical High School System","ELL",13.5,9.7,9.4,"*","*","*","*","*","*","*"
"Coventry School District","Non-ELL",4.6,7.2,"*","*","*",5.2,6.5,"*","*","*"
"Coventry School District","ELL","N/A","N/A","*","N/A","*","N/A","N/A","*","N/A","*"
"Cromwell School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","Non-ELL",10.7,9.3,9.1,8.9,9.4,8.9,10.2,10.1,9.5,6.2
"Danbury School District","ELL",25.0,21.2,23.3,28.2,26.2,15.5,23.0,27.1,22.4,28.3
"Darien School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Darien School District","ELL","*","*","N/A","*","*","*","*","N/A","*","*"
"Department of Mental Health and Addiction Services","Non-ELL","N/A","N/A","*","*","N/A","N/A","N/A","*","*","N/A"
"Department of Mental Health and Addiction Services","ELL","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","*","N/A"
"Derby School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Derby School District","ELL","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","ELL","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","*"
"East Haddam School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","ELL","N/A","*","N/A","N/A","*","N/A","*","N/A","N/A","*"
"East Hampton School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","ELL","N/A","*","*","N/A","*","N/A","*","*","N/A","*"
"East Hartford School District","Non-ELL","*",13.3,13.9,9.5,5.8,8.2,9.2,7.5,10.6,"*"
"East Hartford School District","ELL","*",20.0,16.2,17.1,21.0,17.6,17.1,16.2,25.7,"*"
"East Haven School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","ELL","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","Non-ELL","*",3.3,"*","*","*","*",2.3,"*","*","*"
"East Lyme School District","ELL","N/A","N/A","*","*","*","N/A","N/A","*","*","*"
"East Windsor School District","Non-ELL","*",6.7,"*","*","*","*",6.7,"*","*","*"
"East Windsor School District","ELL","*","N/A","*","*","*","*","N/A","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","Non-ELL","N/A","*","*","*","*","N/A","*","*","*","*"
"Elm City College Preparatory School District","ELL","N/A","N/A","N/A","*","*","N/A","N/A","N/A","*","*"
"Enfield School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Explorations District","Non-ELL",23.5,"*","*","*","*",23.5,"*","*","*","*"
"Explorations District","ELL","N/A","N/A","*","N/A","*","N/A","N/A","*","N/A","*"
"Fairfield School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Granby School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Granby School District","ELL","N/A","N/A","N/A","*","*","N/A","N/A","N/A","*","*"
"Greenwich School District","Non-ELL","*","*","*","*","*","*","*","*",3.0,"*"
"Greenwich School District","ELL","*","*","*","*","*","*","*","*",22.2,"*"
"Griswold School District","Non-ELL",12.0,"*",7.6,9.4,"*",7.0,"*",5.3,5.9,"*"
"Griswold School District","ELL","N/A","*","N/A","N/A","*","N/A","*","N/A","N/A","*"
"Groton School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Groton School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","ELL","*","N/A","*","*","*","*","N/A","*","*","*"
"Hamden School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","Non-ELL",22.7,16.2,20.0,14.0,15.8,11.0,16.2,6.0,12.6,10.8
"Hartford School District","ELL",38.9,28.4,32.4,27.1,30.2,13.6,25.4,9.5,13.3,15.3
"Killingly School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","ELL","*","*","*","*","*","*","*","*","*","*"
"Learn","Non-ELL","N/A","N/A","*","*","*","N/A","N/A","*","*","*"
"Learn","ELL","N/A","N/A","*","*","*","N/A","N/A","*","*","*"
"Lebanon School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","ELL","N/A","N/A","*","N/A","*","N/A","N/A","*","N/A","*"
"Ledyard School District","Non-ELL","*","*",4.7,"*","*","*","*",5.6,"*","*"
"Ledyard School District","ELL","*","*","N/A","*","*","*","*","N/A","*","*"
"Lisbon School District","Non-ELL","*","*","*","*","N/A","*","*","*","*","N/A"
"Litchfield School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","ELL","*","N/A","*","N/A","*","*","N/A","*","N/A","*"
"Madison School District","Non-ELL","*","*","*","*","*","*","*","*","*","*"
"Madison School District","ELL","N/A","*","N/A","*","*","N/A","*","N/A","*","*"
"Manchester School District","Non-ELL",17.4,"*","*","*","*","*","*","*","*","*"
"Manchester School District","ELL",20.7,"*","*","*","*","*","*","*","*","*"
