"Four-Year Graduation Rates, Trend"
"All Districts, English Learner Status"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","English Learner Status","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Non-ELL",58.6,71.4,"*",82.6,"*"
"Amistad Academy District","ELL","N/A","N/A","*","N/A","*"
"Ansonia School District","Non-ELL","*",76.9,76.4,"*","*"
"Ansonia School District","ELL","*",60.0,61.5,"*","*"
"Avon School District","Non-ELL","*","*","*",97.4,"*"
"Avon School District","ELL","*","*","*","N/A","*"
"Berlin School District","Non-ELL","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*"
"Bloomfield School District","Non-ELL","*",78.1,"*","*","*"
"Bloomfield School District","ELL","*","N/A","*","*","*"
"Bolton School District","Non-ELL",94.6,90.4,97.5,94.2,"*"
"Bolton School District","ELL","N/A","N/A","N/A","N/A","*"
"Branford School District","Non-ELL","*","*","*","*","*"
"Branford School District","ELL","*","*","*","*","*"
"Bridgeport Achievement First District","Non-ELL","N/A","N/A","N/A","N/A","*"
"Bridgeport Achievement First District","ELL","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Non-ELL",61.9,68.4,68.7,73.1,64.2
"Bridgeport School District","ELL",51.9,55.8,58.2,61.6,59.8
"Bristol School District","Non-ELL",76.8,85.4,81.0,82.3,81.5
"Bristol School District","ELL",72.7,76.2,52.0,66.7,77.8
"Brookfield School District","Non-ELL","*","*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*"
"Canton School District","Non-ELL","*",97.5,94.4,94.1,"*"
"Canton School District","ELL","*","N/A","N/A","N/A","*"
"Capitol Region Education Council","Non-ELL","*",79.8,84.4,"*","*"
"Capitol Region Education Council","ELL","*",66.7,100.0,"*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*"
"Common Ground High School District","Non-ELL",86.8,"*","*",89.7,"*"
"Common Ground High School District","ELL","N/A","*","*","N/A","*"
"Connecticut Technical High School System","Non-ELL",93.7,96.2,96.7,96.1,97.3
"Connecticut Technical High School System","ELL",85.1,90.3,87.5,100.0,99.0
"Coventry School District","Non-ELL",90.2,86.3,"*",96.2,"*"
"Coventry School District","ELL","N/A","N/A","*","N/A","*"
"Cromwell School District","Non-ELL","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*"
"Danbury School District","Non-ELL",80.4,80.4,80.8,81.7,84.4
